epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07068,1.10218,3.86831,1.0045,0.00472,0.875,0.00517,0.00199,1.43272,3.49682,1.14216,5.001e-05,5.001e-05,5.001e-05
2,4.21744,1.06982,3.78893,0.99221,0.00463,1,0.47994,0.24013,1.2318,3.22213,0.97682,0.000115535,0.000115535,0.000115535
3,5.24685,0.98986,2.80523,0.89846,0.00447,1,0.58425,0.32256,1.24175,3.03911,0.96208,0.000179739,0.000179739,0.000179739
4,6.28934,0.98807,1.87332,0.90416,0.00445,1,0.59776,0.35301,1.02397,2.92659,0.92963,0.000242624,0.000242624,0.000242624
5,7.34939,1.01696,1.51428,0.94749,0.0044,1,0.565,0.34756,0.95058,3.04549,0.92097,0.000304187,0.000304187,0.000304187
6,8.38126,0.93732,1.2769,0.93443,0.00438,1,0.47741,0.23093,0.96872,3.11334,0.94332,0.000364431,0.000364431,0.000364431
7,9.41205,0.92528,1.19647,0.94685,0.00429,0.98438,0.20857,0.05576,0.99836,3.18505,0.98103,0.000423355,0.000423355,0.000423355
8,10.4284,0.91705,1.134,0.92016,0.00432,1,0.16053,0.09274,0.97179,3.14614,0.99622,0.000480958,0.000480958,0.000480958
9,11.4539,0.92107,1.17383,0.95056,0.00432,1,0.04644,0.01907,1.05576,3.20408,0.97777,0.000537241,0.000537241,0.000537241
10,12.4854,0.89771,1.07791,0.93882,0.00436,1,0.2011,0.10911,1.00803,3.13477,0.98507,0.000592203,0.000592203,0.000592203
11,13.5072,0.88978,1.05566,0.92974,0.00435,1,0.15619,0.07702,1.08878,3.20143,1.05644,0.000645846,0.000645846,0.000645846
12,14.5444,0.86844,1.02522,0.95509,0.00425,0.98438,0.07539,0.0464,1.15827,3.18076,1.12348,0.000698168,0.000698168,0.000698168
13,15.7031,0.89445,0.96485,0.93628,0.00433,1,0.17767,0.06035,1.26914,3.05696,1.20408,0.00074917,0.00074917,0.00074917
14,16.7033,0.84505,0.94756,0.92521,0.00432,1,0.68362,0.37834,1.28047,2.92221,1.23701,0.000798851,0.000798851,0.000798851
15,17.7232,0.82543,0.92148,0.92697,0.00432,1,0.90738,0.51769,1.4576,2.75417,1.44735,0.000847213,0.000847213,0.000847213
16,18.7627,0.83074,0.89681,0.92888,0.00442,1,0.93931,0.57603,1.37543,2.74591,1.32997,0.000894254,0.000894254,0.000894254
17,19.7849,0.79349,0.89122,0.92063,0.00857,0.96875,0.95358,0.59002,1.27584,2.52436,1.21636,0.000939975,0.000939975,0.000939975
18,20.8072,0.81771,0.93592,0.9128,1,0.29077,0.96437,0.67009,1.08445,2.3474,1.04752,0.000984375,0.000984375,0.000984375
19,21.8223,0.80771,0.86323,0.9048,1,0.22726,0.95199,0.60847,1.28252,2.19662,1.16536,0.00102746,0.00102746,0.00102746
20,22.8453,0.846,0.85495,0.94049,1,0.57428,0.96652,0.70997,1.03119,2.0221,1.02379,0.00106922,0.00106922,0.00106922
21,23.886,0.88052,0.89509,0.95148,1,0.66511,0.99324,0.70919,1.03208,1.90213,1.05454,0.00110966,0.00110966,0.00110966
22,24.9103,0.82894,0.85935,0.93583,0.96685,0.5812,0.99235,0.72098,1.06731,1.76165,1.05536,0.00114877,0.00114877,0.00114877
23,25.9429,0.83769,0.87105,0.92493,0.98526,0.79062,0.99026,0.67178,1.17331,1.58471,1.12956,0.00118657,0.00118657,0.00118657
24,26.9526,0.83523,0.82802,0.92802,0.96163,0.84326,0.995,0.61094,1.35602,1.35944,1.30399,0.00122305,0.00122305,0.00122305
25,28.0804,0.82563,0.8492,0.92571,0.98492,1,0.995,0.67194,1.20594,1.16716,1.22662,0.00125821,0.00125821,0.00125821
26,29.1012,0.84083,0.82832,0.92091,0.96383,0.99023,0.995,0.57285,1.44495,1.28513,1.38108,0.00125442,0.00125442,0.00125442
27,30.1175,0.76915,0.8115,0.90829,1,0.98261,0.995,0.66925,1.19042,0.9707,1.19754,0.00123791,0.00123791,0.00123791
28,31.1461,0.81651,0.80011,0.92258,0.98835,0.99026,0.995,0.65873,1.28231,0.89956,1.21326,0.00122141,0.00122141,0.00122141
29,32.172,0.74711,0.80136,0.91489,0.99216,1,0.995,0.67476,1.16392,0.86391,1.16273,0.00120491,0.00120491,0.00120491
30,33.1981,0.7405,0.75377,0.91593,0.98226,1,0.995,0.70793,1.11437,0.81213,1.10098,0.0011884,0.0011884,0.0011884
31,34.2218,0.78159,0.72691,0.90865,0.90971,0.94958,0.99231,0.70482,1.07774,1.13055,1.05819,0.0011719,0.0011719,0.0011719
32,35.2362,0.76189,0.74607,0.8977,0.89469,0.87663,0.97966,0.66566,1.22389,1.31896,1.11801,0.0011554,0.0011554,0.0011554
33,36.2656,0.76721,0.71468,0.91859,0.93259,0.89022,0.98249,0.66456,1.22386,1.07414,1.10849,0.00113889,0.00113889,0.00113889
34,37.2729,0.76143,0.67559,0.90591,0.94176,1,0.995,0.6866,1.11923,0.92534,1.08111,0.00112239,0.00112239,0.00112239
35,38.2916,0.7447,0.67723,0.90365,0.99233,0.99552,0.995,0.70194,1.08637,0.96822,1.05023,0.00110589,0.00110589,0.00110589
36,39.4208,0.73497,0.66723,0.88508,0.95693,0.96485,0.99167,0.67076,1.12633,0.85367,1.10296,0.00108938,0.00108938,0.00108938
37,40.432,0.72255,0.62873,0.87916,0.99213,0.96055,0.99324,0.68226,1.11113,0.72832,1.09141,0.00107288,0.00107288,0.00107288
38,41.4484,0.73666,0.66002,0.89776,0.9847,0.97419,0.99412,0.6713,1.15232,0.67477,1.14096,0.00105638,0.00105638,0.00105638
39,42.4759,0.70185,0.64731,0.88996,0.98546,0.97589,0.99412,0.67571,1.09811,0.6027,1.08591,0.00103987,0.00103987,0.00103987
40,43.5055,0.67215,0.60706,0.86923,0.98614,0.9797,0.99412,0.65709,1.10998,0.57008,1.1442,0.00102337,0.00102337,0.00102337
41,44.5306,0.72253,0.62952,0.89555,1,0.99607,0.995,0.72936,0.9875,0.53467,1.03449,0.00100687,0.00100687,0.00100687
42,45.5733,0.69404,0.59584,0.88818,0.9973,0.99364,0.995,0.72093,1.05147,0.5443,1.04827,0.000990365,0.000990365,0.000990365
43,46.6172,0.67451,0.59046,0.88632,0.99554,1,0.995,0.73103,1.06513,0.50215,1.05611,0.000973861,0.000973861,0.000973861
44,47.6651,0.69011,0.60565,0.88402,0.98957,0.99798,0.995,0.71938,1.04402,0.48377,1.07657,0.000957358,0.000957358,0.000957358
45,48.6825,0.6805,0.59176,0.8762,0.99002,0.99803,0.995,0.6918,1.07957,0.49172,1.10755,0.000940855,0.000940855,0.000940855
46,49.7045,0.63267,0.57915,0.86315,0.98593,0.9972,0.995,0.69061,1.0844,0.51863,1.12553,0.000924352,0.000924352,0.000924352
47,50.7322,0.66277,0.57148,0.87423,0.99115,0.96867,0.99026,0.70318,1.03546,0.51616,1.03198,0.000907848,0.000907848,0.000907848
48,51.8738,0.64826,0.5526,0.86892,0.96927,0.97169,0.995,0.73005,1.00767,0.52667,1,0.000891345,0.000891345,0.000891345
49,52.8836,0.66301,0.54569,0.8878,0.9734,0.98815,0.995,0.74758,0.98278,0.49766,0.99671,0.000874842,0.000874842,0.000874842
50,53.9039,0.64143,0.53245,0.87442,0.98705,1,0.995,0.73776,1.00576,0.46735,1.03387,0.000858338,0.000858338,0.000858338
51,54.9042,0.64164,0.52593,0.8644,0.98515,0.99841,0.995,0.7153,1.0621,0.46525,1.07652,0.000841835,0.000841835,0.000841835
52,55.9302,0.69007,0.55356,0.89572,0.99076,0.99847,0.995,0.73399,0.99919,0.42951,1.03004,0.000825332,0.000825332,0.000825332
53,56.9446,0.6342,0.54271,0.86523,0.98785,0.99652,0.995,0.73891,1.00128,0.4636,1.01268,0.000808828,0.000808828,0.000808828
54,57.9627,0.60866,0.51994,0.86208,0.9868,0.99667,0.995,0.75339,0.97032,0.45782,1.00761,0.000792325,0.000792325,0.000792325
55,58.9996,0.67001,0.54392,0.87821,0.98643,0.99765,0.995,0.74587,0.98298,0.4613,1.01829,0.000775822,0.000775822,0.000775822
56,60.0058,0.6319,0.52383,0.87504,0.99377,0.96875,0.99324,0.73803,1.0143,0.44831,1.03661,0.000759318,0.000759318,0.000759318
57,61.0062,0.60143,0.50323,0.86991,0.99612,0.96875,0.97521,0.72564,0.99851,0.46369,1.04311,0.000742815,0.000742815,0.000742815
58,62.0243,0.60769,0.51131,0.86665,0.99631,0.96875,0.99167,0.76244,0.92345,0.42865,1.00393,0.000726312,0.000726312,0.000726312
59,63.1897,0.63062,0.49882,0.86862,0.994,0.96875,0.97797,0.739,0.95407,0.45221,1.03937,0.000709809,0.000709809,0.000709809
60,64.2089,0.62314,0.49053,0.87198,0.99142,0.96875,0.97227,0.72246,0.98796,0.46597,1.05317,0.000693305,0.000693305,0.000693305
61,65.2288,0.57804,0.4813,0.85548,0.99695,0.96875,0.9694,0.69187,1.06746,0.4816,1.09691,0.000676802,0.000676802,0.000676802
