epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99573,1.11054,3.62035,1.10155,0.00388,0.9697,0.10545,0.04912,1.30399,3.06309,1.07113,5.001e-05,5.001e-05,5.001e-05
2,4.16148,1.03829,3.5694,1.07049,0.00401,1,0.52437,0.35349,0.96066,2.9248,0.91972,0.000115535,0.000115535,0.000115535
3,5.3579,0.99048,2.71561,1.0263,0.00419,1,0.546,0.32228,1.15558,2.81245,1.00329,0.000179739,0.000179739,0.000179739
4,6.50868,1.06453,1.94448,1.03936,1,0.39832,0.55149,0.37961,1.0418,2.34999,0.96689,0.000242624,0.000242624,0.000242624
5,7.73538,0.95173,1.65228,0.98364,0.00431,1,0.54388,0.34226,1.06254,2.50919,0.97263,0.000304187,0.000304187,0.000304187
6,8.92825,1.02554,1.4964,1.00589,0.98105,0.38468,0.6659,0.43756,0.97876,2.38883,0.95023,0.000364431,0.000364431,0.000364431
7,10.154,0.93597,1.43163,0.98058,0.97985,0.36087,0.7747,0.48308,1.01212,2.53772,0.97936,0.000423355,0.000423355,0.000423355
8,11.4147,0.91682,1.37655,1.00736,0.9657,0.20599,0.70483,0.51709,0.92738,2.45304,0.9254,0.000480958,0.000480958,0.000480958
9,12.5999,1.00009,1.3785,1.04353,0.97769,0.45928,0.8257,0.56471,0.99162,2.60012,0.93622,0.000537241,0.000537241,0.000537241
10,13.7912,0.90991,1.25581,1.00258,1,0.1176,0.75751,0.56636,0.93044,2.4438,0.88975,0.000592203,0.000592203,0.000592203
11,14.9974,0.91189,1.17205,0.97816,0.92255,0.41339,0.69726,0.5173,0.93997,2.22222,0.91083,0.000645846,0.000645846,0.000645846
12,16.1719,0.96537,1.35207,1.03442,0.96327,0.38231,0.6757,0.49102,1.02009,2.30734,0.93195,0.000698168,0.000698168,0.000698168
13,17.3343,0.89771,1.16691,0.98176,0.97908,0.43939,0.70638,0.54354,0.86697,2.09628,0.88892,0.00074917,0.00074917,0.00074917
