epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06085,0.68893,4.00345,0.94701,0.00234,1,0.04455,0.0293,0.53516,3.28973,0.80986,1.667e-05,1.667e-05,1.667e-05
2,2.55478,0.74401,4.03485,0.93744,0.00234,1,0.05009,0.03214,0.53993,3.2839,0.81186,4.95149e-05,4.95149e-05,4.95149e-05
3,3.17907,0.73629,4.3226,0.97703,0.00234,1,0.04395,0.02987,0.53787,3.28543,0.81223,8.16997e-05,8.16997e-05,8.16997e-05
4,3.7188,0.75006,4.17989,0.98975,0.00234,1,0.19109,0.18174,0.51773,3.25071,0.79868,0.000113224,0.000113224,0.000113224
5,4.28631,0.63526,3.56742,0.89133,0.00234,1,0.68708,0.59294,0.53657,3.21266,0.78082,0.000144089,0.000144089,0.000144089
6,4.84965,0.73702,3.16002,0.93617,0.00238,1,0.84325,0.69277,0.51545,3.09882,0.78124,0.000174293,0.000174293,0.000174293
7,5.4142,0.60723,2.22356,0.8456,1,0.29613,0.73958,0.57346,0.70218,2.93342,0.80264,0.000203837,0.000203837,0.000203837
8,5.98452,0.58984,1.83868,0.8605,1,0.21284,0.68924,0.57638,0.63179,2.9158,0.8101,0.000232722,0.000232722,0.000232722
9,6.53447,0.65779,2.05155,0.89384,1,0.19849,0.45223,0.34194,0.69191,3.19094,0.9011,0.000260946,0.000260946,0.000260946
10,7.09143,0.71677,2.26784,0.91842,0.00235,1,0.44194,0.34856,0.76643,3.35522,0.98425,0.000288509,0.000288509,0.000288509
11,7.65694,0.68511,2.12915,0.91278,0.00234,1,0.53262,0.45642,0.71891,3.3605,0.96733,0.000315413,0.000315413,0.000315413
12,8.31256,0.64241,1.96277,0.86157,0.00234,1,0.47225,0.44183,0.627,3.31198,0.92685,0.000341657,0.000341657,0.000341657
13,8.85529,0.6,1.84899,0.86613,0.00238,1,0.55677,0.51375,0.57115,3.20427,0.89611,0.00036724,0.00036724,0.00036724
14,9.41124,0.63332,1.74988,0.89184,1,0.34415,0.6704,0.53294,0.63756,3.16576,0.88815,0.000392163,0.000392163,0.000392163
15,9.95763,0.60474,1.76524,0.88883,0.92304,0.35714,0.64508,0.52966,0.6501,3.10124,0.86162,0.000416427,0.000416427,0.000416427
16,10.5044,0.60828,1.61277,0.87708,0.00335,1,0.63584,0.53596,0.65752,3.09259,0.84379,0.00044003,0.00044003,0.00044003
17,11.0518,0.58918,1.48615,0.868,0.99032,0.5,0.63579,0.53963,0.6871,2.94033,0.85281,0.000462973,0.000462973,0.000462973
18,11.6025,0.59787,1.75047,0.90152,1,0.40199,0.59338,0.50789,0.653,2.91033,0.84837,0.000485255,0.000485255,0.000485255
19,12.1496,0.72575,1.66644,0.91365,0.32624,0.7,0.6446,0.54633,0.6031,2.94813,0.83548,0.000506878,0.000506878,0.000506878
20,12.6995,0.57976,1.77287,0.87306,0.98581,0.5,0.68518,0.58766,0.60818,2.82645,0.83772,0.000527841,0.000527841,0.000527841
21,13.3519,0.76114,1.50404,0.98274,1,0.19699,0.66271,0.55522,0.63668,2.77657,0.85532,0.000548143,0.000548143,0.000548143
22,13.8992,0.65306,1.65748,0.8921,0.99515,0.5,0.66045,0.54758,0.66494,2.60832,0.82978,0.000567785,0.000567785,0.000567785
23,14.4508,0.62791,1.51319,0.89152,0.95953,0.68986,0.76423,0.65277,0.66798,2.2204,0.80301,0.000586767,0.000586767,0.000586767
24,15.0051,0.66079,1.49577,0.88019,0.981,0.6972,0.76773,0.63098,0.64768,2.15055,0.81827,0.000605089,0.000605089,0.000605089
25,15.561,0.69987,1.54451,0.87909,1,0.69217,0.78716,0.63285,0.70087,2.2974,0.81436,0.000622751,0.000622751,0.000622751
26,16.0983,0.64577,1.37302,0.9239,0.99149,0.69917,0.84045,0.70555,0.69376,2.24036,0.8115,0.000639753,0.000639753,0.000639753
27,16.6587,0.59733,1.43183,0.9171,0.96661,0.7,0.8825,0.74545,0.65495,2.19308,0.8071,0.000656095,0.000656095,0.000656095
28,17.2173,0.59101,1.46145,0.91746,0.97422,0.69823,0.92,0.76411,0.61317,2.22026,0.80631,0.000671776,0.000671776,0.000671776
29,17.7755,0.54793,1.40615,0.87173,0.95673,0.67832,0.995,0.83112,0.60655,2.20897,0.81116,0.000686797,0.000686797,0.000686797
30,18.3416,0.57486,1.41151,0.88602,0.9462,0.68124,0.995,0.82596,0.59409,2.16853,0.80705,0.000701159,0.000701159,0.000701159
31,18.9859,0.65482,1.66166,0.90248,0.94304,0.66785,0.995,0.87848,0.56003,2.1635,0.80121,0.00071486,0.00071486,0.00071486
32,19.553,0.63713,1.43612,0.9145,0.93907,0.63803,0.995,0.8727,0.54405,2.16143,0.79793,0.000727901,0.000727901,0.000727901
33,20.092,0.65297,1.38919,0.91193,0.94204,0.5,0.9575,0.85423,0.5508,2.27295,0.80258,0.000740281,0.000740281,0.000740281
34,20.633,0.61029,1.22488,0.90157,0.94397,0.5638,0.96278,0.86082,0.58381,2.29451,0.81655,0.000752002,0.000752002,0.000752002
