epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85899,1.29984,4.10794,1.22079,0.65694,0.61477,0.69923,0.39414,1.84349,2.97353,1.62768,0.00011669,0.00011669,0.00011669
2,5.19099,1.03039,1.29303,1.03888,0.85749,0.86239,0.96083,0.56565,1.65174,6.89771,1.45137,0.000247575,0.000247575,0.000247575
3,7.37093,0.98789,1.00804,0.97979,0.82023,0.85249,0.92767,0.59775,1.54069,1.42624,1.32767,0.000375818,0.000375818,0.000375818
4,9.58451,0.98179,0.87859,0.9692,0.97481,1,0.99409,0.58424,1.57074,1.38613,1.43871,0.000501422,0.000501422,0.000501422
5,11.6763,0.98849,0.8185,0.98739,0.9547,0.9828,0.98749,0.61669,1.39598,1.26347,1.29862,0.000624385,0.000624385,0.000624385
6,13.8614,0.93098,0.68186,0.9661,0.97825,0.92746,0.97761,0.61337,1.61241,1.25222,1.45453,0.000744707,0.000744707,0.000744707
7,15.9153,0.91213,0.66976,0.96015,0.96911,0.90029,0.92885,0.59537,1.47942,1.05341,1.2805,0.000862389,0.000862389,0.000862389
8,17.9777,0.96745,0.65945,1.00155,0.98444,0.93415,0.98539,0.61601,1.58019,0.7459,1.47738,0.00097743,0.00097743,0.00097743
9,20.0627,0.92182,0.64483,0.99203,0.95248,0.84788,0.94641,0.57008,1.47708,0.88869,1.43229,0.00108983,0.00108983,0.00108983
10,22.1387,0.88817,0.61267,0.95992,0.83557,0.9284,0.94766,0.62488,1.5172,0.73337,1.42373,0.00119959,0.00119959,0.00119959
11,24.2941,0.92021,0.63705,0.96516,0.90885,0.8983,0.98124,0.67319,1.17705,0.66025,1.20602,0.00130671,0.00130671,0.00130671
12,26.4553,0.91013,0.65137,0.96977,0.8515,0.65677,0.74303,0.50732,1.19838,1.00163,1.26956,0.00141119,0.00141119,0.00141119
13,28.5267,0.85906,0.62639,0.96275,0.87098,0.77725,0.93143,0.57194,1.35458,0.97235,1.32725,0.00146896,0.00146896,0.00146896
14,30.5802,0.85322,0.63907,0.94464,0.91786,0.7951,0.90326,0.5805,1.21298,0.93212,1.16342,0.00145246,0.00145246,0.00145246
15,32.6723,0.86205,0.58345,0.96167,0.85685,0.92188,0.94388,0.62098,1.17985,0.69553,1.14814,0.00143595,0.00143595,0.00143595
16,34.74,0.89796,0.55156,0.9468,0.94391,0.98438,0.98901,0.60562,1.41755,0.77968,1.41699,0.00141945,0.00141945,0.00141945
17,36.8019,0.88777,0.57756,0.96659,0.97055,0.99284,0.98872,0.70705,1.25775,0.53311,1.17101,0.00140295,0.00140295,0.00140295
18,38.9539,0.86278,0.55701,0.95846,0.9796,0.96875,0.99324,0.65033,1.23822,0.60148,1.2319,0.00138644,0.00138644,0.00138644
19,41.007,0.83229,0.52541,0.95227,0.95644,0.91732,0.93881,0.56914,1.4744,0.66408,1.45192,0.00136994,0.00136994,0.00136994
20,43.077,0.81729,0.51858,0.95307,0.66397,0.45512,0.479,0.27063,2.00238,2.35772,1.71637,0.00135344,0.00135344,0.00135344
21,45.1306,0.79859,0.47752,0.9484,0.92947,0.9492,0.97237,0.68688,1.22475,0.66992,1.17074,0.00133693,0.00133693,0.00133693
22,47.2084,0.79509,0.49299,0.93438,0.94271,0.9512,0.95316,0.67593,1.2547,0.60879,1.18244,0.00132043,0.00132043,0.00132043
23,49.2626,0.75714,0.49125,0.92794,0.97133,0.96597,0.96182,0.67065,1.19422,0.55921,1.16695,0.00130393,0.00130393,0.00130393
24,51.3262,0.79733,0.50943,0.94928,0.97651,0.89848,0.94791,0.645,1.37014,0.70212,1.32874,0.00128742,0.00128742,0.00128742
25,53.3922,0.75552,0.50154,0.94132,0.95516,0.8125,0.91618,0.56052,1.48253,0.83402,1.43774,0.00127092,0.00127092,0.00127092
