epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02939,1.21434,3.76351,1.23858,0.14887,0.5,0.20661,0.09082,1.61508,3.34947,1.62053,5.001e-05,5.001e-05,5.001e-05
2,5.9937,1.20399,3.92135,1.20854,0.15481,0.4697,0.22281,0.09804,1.60579,3.39556,1.62955,0.000115535,0.000115535,0.000115535
3,8.06556,1.06364,2.41515,1.13314,0.93024,0.80303,0.87441,0.58065,1.10711,2.14842,1.27679,0.000179739,0.000179739,0.000179739
4,10.2394,1.00002,1.11744,1.08392,0.63878,0.78874,0.72489,0.52465,0.94803,5.32154,1.21858,0.000242624,0.000242624,0.000242624
5,12.3577,0.89801,0.90718,1.0632,0.52816,0.93939,0.56631,0.42181,0.93026,11.1037,1.21992,0.000304187,0.000304187,0.000304187
6,14.4913,0.91936,0.81051,1.06148,0.92302,0.95984,0.98662,0.74389,0.89952,1.02563,1.18127,0.000364431,0.000364431,0.000364431
7,16.6716,0.88527,0.74747,1.088,0.05807,0.43939,0.169,0.13712,1.01511,30.6955,1.40435,0.000423355,0.000423355,0.000423355
8,18.7621,0.86091,0.65908,1.04979,0.95364,0.87486,0.98662,0.74162,0.90237,4.16258,1.21065,0.000480958,0.000480958,0.000480958
9,20.8639,0.91732,0.66174,1.10765,0.91667,0.84265,0.86821,0.65878,0.91985,1.29883,1.22957,0.000537241,0.000537241,0.000537241
10,22.9705,0.88693,0.60261,1.09503,0.92284,0.90062,0.91339,0.67617,0.95561,0.89183,1.23845,0.000592203,0.000592203,0.000592203
11,25.0637,0.89932,0.65771,1.06049,0.66405,0.65595,0.7758,0.54646,1.0675,1.22326,1.32995,0.000645846,0.000645846,0.000645846
12,27.1513,0.92718,0.71856,1.11457,0.7611,0.31469,0.31617,0.2222,1.08023,2.28711,1.36387,0.000698168,0.000698168,0.000698168
13,29.2468,0.88015,0.63536,1.06224,0.85363,0.49408,0.59888,0.38982,1.01644,1.86329,1.31941,0.00074917,0.00074917,0.00074917
14,31.3485,0.88627,0.64661,1.09949,0.84009,0.84783,0.94172,0.68481,0.92655,0.98899,1.22423,0.000798851,0.000798851,0.000798851
15,33.4162,0.82857,0.53534,1.03547,0.89265,0.75035,0.86763,0.6447,0.90039,1.03522,1.24285,0.000847213,0.000847213,0.000847213
16,35.5066,0.8616,0.50832,1.04544,0.94837,0.90867,0.92018,0.68853,0.91252,0.81181,1.23687,0.000894254,0.000894254,0.000894254
17,37.585,0.84316,0.50997,1.04829,0.59378,0.87904,0.69066,0.4599,1.09475,2.11285,1.51281,0.000939975,0.000939975,0.000939975
18,39.6619,0.89635,0.55015,1.06043,0.87645,0.77273,0.94637,0.6867,0.94331,0.99633,1.30353,0.000984375,0.000984375,0.000984375
19,41.7284,0.85699,0.54634,1.03926,0.83891,0.86033,0.95605,0.66714,1.01084,1.09188,1.34417,0.00102746,0.00102746,0.00102746
20,43.8077,0.89801,0.52818,1.07101,0.90145,0.55229,0.7474,0.46668,1.19796,1.82367,1.53249,0.00106922,0.00106922,0.00106922
21,45.8903,0.87541,0.52819,1.06397,0.87172,0.77233,0.84807,0.55817,1.0947,1.46518,1.39471,0.00110966,0.00110966,0.00110966
22,48.0009,0.79917,0.46764,1.02349,0.5736,0.72092,0.74145,0.52087,1.04834,3.63156,1.32521,0.00114877,0.00114877,0.00114877
23,50.1014,0.83462,0.5377,1.01388,0.56896,0.62121,0.53811,0.3715,1.03632,1.56612,1.36721,0.00118657,0.00118657,0.00118657
24,52.1865,0.88508,0.58329,1.05782,0.61008,0.61893,0.6459,0.46542,1.01308,1.90727,1.30809,0.00122305,0.00122305,0.00122305
25,54.2715,0.85862,0.55139,1.09357,0.87884,0.82855,0.86202,0.6706,0.93715,0.94923,1.26962,0.00125821,0.00125821,0.00125821
26,56.3532,0.80893,0.51095,1.02077,0.88283,0.87292,0.92139,0.55651,1.26663,0.86247,1.40519,0.00125442,0.00125442,0.00125442
