epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31583,0.78235,5.24644,0.9789,0.32442,0.4,0.3641,0.26001,0.79473,4.09968,0.95456,5.001e-05,5.001e-05,5.001e-05
2,3.27831,0.7931,6.16357,0.9496,0.84165,0.98093,0.995,0.82711,0.59567,2.5453,0.85437,0.000115535,0.000115535,0.000115535
3,4.45988,0.67223,2.32319,0.93387,0.88016,0.71429,0.77245,0.67996,0.61781,10.5386,0.87528,0.000179739,0.000179739,0.000179739
4,5.52618,0.63721,1.98138,0.93935,0.93744,0.85574,0.995,0.746,0.86517,3.07365,1.02586,0.000242624,0.000242624,0.000242624
5,6.54879,0.76738,1.72285,1.07101,0.98797,0.91034,0.995,0.7716,0.72316,2.12844,1.022,0.000304187,0.000304187,0.000304187
6,7.56621,0.70097,1.35677,0.99202,0.96521,0.93287,0.995,0.80366,0.60834,2.60153,0.98568,0.000364431,0.000364431,0.000364431
7,8.60349,0.65206,1.19412,0.96445,0.98509,1,0.995,0.85275,0.5935,1.6657,0.95789,0.000423355,0.000423355,0.000423355
8,9.72199,0.62773,0.96733,0.99316,0.97596,1,0.995,0.80825,0.69566,1.47528,0.99812,0.000480958,0.000480958,0.000480958
9,10.7504,0.65913,0.99122,1.05715,0.98459,1,0.995,0.85456,0.67955,0.94508,0.99584,0.000537241,0.000537241,0.000537241
10,11.878,0.63871,1.13238,0.97126,0.96689,1,0.995,0.79878,0.743,0.90002,1.00996,0.000592203,0.000592203,0.000592203
11,12.8629,0.74544,0.94583,1.01152,0.98326,1,0.995,0.80929,0.73654,0.87091,1.08006,0.000645846,0.000645846,0.000645846
12,13.8524,0.69924,0.79595,1.02215,0.66959,1,0.72967,0.55826,0.73319,1.62859,1.05331,0.000698168,0.000698168,0.000698168
13,14.8481,0.7573,0.85212,1.03023,0.97105,0.89082,0.9575,0.76877,0.80311,1.17852,1.09807,0.00074917,0.00074917,0.00074917
14,15.8268,0.74593,0.80442,0.97623,0.85449,0.97305,0.945,0.73466,0.93804,1.22406,1.26142,0.000798851,0.000798851,0.000798851
15,16.823,0.73757,0.70652,1.01059,0.72746,0.90843,0.87723,0.72631,0.70818,1.51497,1.11135,0.000847213,0.000847213,0.000847213
16,17.8016,0.67213,0.73892,1.01878,0.18482,0.9,0.38935,0.31058,0.73901,4.17528,1.19704,0.000894254,0.000894254,0.000894254
17,18.7822,0.79039,0.79373,1.04322,0.83309,0.8,0.9375,0.73226,0.73257,1.56226,1.13435,0.000939975,0.000939975,0.000939975
18,19.7728,0.68595,0.67625,1.04533,0.82193,0.81542,0.92278,0.70774,0.76276,1.99489,1.08642,0.000984375,0.000984375,0.000984375
19,20.7487,0.67432,0.66205,0.97607,0.88375,0.5,0.80866,0.66036,0.70978,2.64044,1.0924,0.00102746,0.00102746,0.00102746
20,21.7442,0.72513,0.83003,1.04097,0.82021,0.78721,0.89891,0.76903,0.64412,2.0341,1.03992,0.00106922,0.00106922,0.00106922
21,22.7359,0.68199,0.66699,0.96608,0.93524,0.85959,0.95208,0.74775,0.77204,2.71785,1.23307,0.00110966,0.00110966,0.00110966
22,23.7127,0.66622,0.57454,0.97952,0.87943,0.79234,0.9775,0.77729,0.71342,2.41108,1.08332,0.00114877,0.00114877,0.00114877
23,24.6933,0.70136,0.79064,1.0341,0.76585,0.77413,0.995,0.78236,0.74498,3.71885,1.0605,0.00118657,0.00118657,0.00118657
24,25.6755,0.68331,0.68433,1.03119,0.83819,1,0.97833,0.7898,0.75043,3.67776,1.05668,0.00122305,0.00122305,0.00122305
25,26.6637,0.70314,0.61592,0.94887,0.68791,0.91569,0.93625,0.73663,0.83611,2.04117,1.07751,0.00125821,0.00125821,0.00125821
26,27.666,0.65983,0.87306,0.9396,0.86331,0.99274,0.9775,0.73736,0.80259,1.12879,1.10052,0.00125442,0.00125442,0.00125442
27,28.6798,0.77357,0.71042,1.09147,0.79418,0.86402,0.995,0.76299,0.81221,1.42771,1.09871,0.00123791,0.00123791,0.00123791
28,29.6866,0.73078,0.70161,1.0007,0.88842,1,0.995,0.75275,0.83937,1.10779,1.12515,0.00122141,0.00122141,0.00122141
29,30.7059,0.64546,0.56214,0.93981,0.9735,0.98191,0.995,0.73531,0.85344,0.88608,1.12887,0.00120491,0.00120491,0.00120491
